Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
740;Aileen Wuornos: American Boogeywoman;En 1976, Aileen Wuornos se casa con un presidente del club de yates y causa caos en la alta sociedad de Florida. Basado libremente en la vida del asesino en serie.;Dramas, Thrillers;Peyton List, Tobin Bell, Lydia Hearst, Nick Vallelonga, Swen Temmel, Andrew Biernat, Ashley Atwood, Hamish Sturgeon, Joseph Schwartz, Meadow Williams;Daniel Farrands;;January 24, 2022;2021;TV-MA;86;;3.5
741;Amandla;Años después de sobrevivir a una tragedia de la infancia, dos hermanos caen en los lados de la ley opuestos a medida que un crimen ligado a pandillas se pone su lealtad entre sí.;Dramas, International Movies;Lemogang Tsipa, Thabiso Masoti, Thabo Rametsi, Bahle Mashinini, Israel Matseke-Zulu, Nqobile Sipamla;Nerina De Jager;;January 21, 2022;2022;TV-MA;107;;
742;Definition Please;Un ex campeón de la abeja ortográfica lucha por cumplir con su potencial como adulto. Cuando su hermano separado llega a casa, las verdades que llaman larga se hierven.;Comedies, Dramas, Independent Movies;Sujata Day, Ritesh Rajan, Anna Khaja, Jake Choi, Lalaine, Maya Kapoor, Kunal Dudhekar, Sonal Shah;Sujata Day;;January 21, 2022;2021;TV-MA;91;;5.6
743;Donkeyhead;Una escritora fallida se desentraña después de que la salud de su padre empeora y sus tres hermanos aparecen para manejar la situación.;Comedies, Dramas, Independent Movies;Agam Darshi, Stephen Lobo, Sandy Sidhu, Huse Madhavji, Marvin Ishmael, Balinder Johal, Kim Coates;Agam Darshi;;January 21, 2022;2022;TV-MA;105;;
744;Motu Patlu: Khazaane Ki Race;¡Para encontrar un tesoro que pueda ayudar a su ciudad a prosperar, Motu y Patlu deben frustrar a un Don y su secuaz, que quieran la riqueza para ellos mismos!;Children & Family Movies, Comedies;Saurav Chakraborty, Omee, Sankalp, Aditya Raj;Suhas Kadav;;January 21, 2022;2015;TV-Y7;76;;
745;Motu Patlu: Kung Fu Kings;Cuando un artista marcial notable pero nefasto llega a la ciudad e insulta a sus residentes, el Valiant Motu busca el entrenamiento de un experto para derrotarlo.;Children & Family Movies;Saurav Chakraborty, Shailendra Pandey, Sunil Sinha, Amarendra Sodi, Aditya Jaiswal, Prasad Barweh;Suhas Kadav;;January 21, 2022;2014;TV-Y7;96;;
746;Munich – The Edge of War;En la tensa conferencia de Munich de 1938, los ex amigos que ahora trabajan para gobiernos opuestos se convierten en espías reacios a las carreras de exponer un secreto nazi.;Dramas, International Movies, Thrillers;George MacKay, Jannis Niewöhner, Jeremy Irons, Robert Bathurst, Jessica Brown Findlay, August Diehl, Sandra Hüller, Alex Jennings, Ulrich Matthes, Liv Lisa Fries;Christian Schwochow;;January 21, 2022;2021;PG-13;131;;
747;My Father's Violin;A través de su dolor y conexión compartida con la música, una niña huérfana se une con su tío violinista emocionalmente distante y exitoso.;Dramas, International Movies;Engin Altan Düzyatan, Belçim Bilgin, Gülizar Nisa Uray, Selim Erdo?an, Erdem Ba?, Yener Sezgin, Yi?it Çak?r, Ayfer Dönmez Ertekin, Ulrich Mertin;Andaç Haznedaro?lu;;January 21, 2022;2022;TV-14;112;;
748;Ozark;Un asesor financiero arrastra a su familia de Chicago a los Missouri Ozarks, donde debe lavar $ 500 millones en cinco años para apaciguar a un jefe de drogas.;Crime TV Shows, TV Dramas, TV Thrillers;Jason Bateman, Sofia Hublitz, Laura Linney, Skylar Gaertner, Jason Butler Harner, Esai Morales, Peter Mullan, Lisa Emery;;United States;January 21, 2022;2022;TV-MA;;4 SEASONS;8.6
749;Shyam Singha Roy;Un cineasta incipiente acusado de plagiar la historia de su película se sumerge profundamente en su pasado y descubre una conexión trascendental con el material fuente.;Dramas, International Movies, Romantic Movies;Nani, Sai Pallavi, Krithi Shetty, Madonna Sebastian, Murli Sharma;Rahul Sankrityan;;January 21, 2022;2021;TV-MA;155;;7.6
750;Summer Heat;Un grupo de adultos jóvenes que trabajan en un complejo paradisíaco viven un verano inolvidable mientras descubren amor, verdaderas amistades y secretos devastadores.;International TV Shows, TV Dramas, Teen TV Shows;Giovanna Lancellotti, Gabz, Jorge López, André Luiz Frambach, Maicon Rodrigues, Giovanna Rispoli, Cynthia Senek, Leonardo Bittencourt, Mayana Neiva, Felipe Rocha;;;January 21, 2022;2022;TV-MA;;1 SEASON;
751;That Girl Lay Lay;La peculiar estudiante Sadie está haciendo malabares con la escuela secundaria mientras mantiene un enorme secreto: ¡su avatar de la bomba ha cobrado vida en forma de feroz amigo Lay Lay!;Kids' TV, TV Comedies;That Girl Lay Lay, Gabrielle Nevaeh Green, Tiffany Daniels, Thomas Hobson, Peyton R. Perrine III, Caleb Brown, Andrea Barber, Ishmel Sahid, Kensington Tallman, Christine Rodriguez, Sean Philip Glasgow;;United States;January 21, 2022;2021;TV-G;;1 SEASON;3.6
752;The Gift;Después de regresar a su pueblo para el funeral de su madre, un joven redescubre la tierra, enfrenta viejos enemigos, hace nuevas alianzas y se enamora.;Dramas, International Movies;Ibrahim Osward, Monica Sizya, Jacob Stephen, Martin White, Akashi Mtenda, Muhogo Sudi, Amir Abdallah, Beatrice Taisamo, Colimba Malecela, Khalid Jumanne;Jordan Riber;;January 21, 2022;2017;TV-14;85;;
753;Annabelle: Creation;Años después de la muerte de su hija, un fabricante de muñecas y su esposa abren su hogar a varios huérfanos, que pronto comienzan a temer una de sus creaciones misteriosas.;Horror Movies;Stephanie Sigman, Talitha Eliana Bateman, Lulu Wilson, Anthony LaPaglia, Miranda Otto, Grace Fulton, Philippa Coulthard, Samara Lee, Tayler Buck;David F. Sandberg;;January 21, 2022;2017;R;110;;6.4
754;Crazy, Lovely, Cool;Para un grupo de estudiantes universitarios carismáticos, las revelaciones de un blog del campus convierten la vida universitaria sobreviviente en un asunto serio.;International TV Shows, TV Dramas;Enyinna Nwigwe, Adesua Etomi, Uru Eke, Zynnell Zuh, Obi Okolie, Anthony Monjaro, Emmanuel Emelu, Chinonye Chidolue, Lorenzo Menakaya, King Bawa;Obi Emelonye;;January 21, 2022;2018;TV-MA;;1 SEASON;8
755;Midnight Asia: Eat · Dance · Dream;La noche saca al lado más juguetón de las metrópolis de Asia. Esta docuseries captura la comida, la bebida, la música y los búhos nocturnos que brillan en la oscuridad.;Docuseries, International TV Shows;;;;January 20, 2022;2022;TV-MA;;1 SEASON;
756;The Royal Treatment;El peluquero de Nueva York, Izzy, aprovecha la oportunidad de trabajar en la boda de un príncipe encantador, pero cuando las chispas entre ellos vuelan, ¿va a amar, o deber, prevalecer?;Children & Family Movies, Comedies, Romantic Movies;Laura Marano, Mena Massoud, Chelsie Preston Crayford, Grace Bentley-Tsibuah, Cameron Rhodes, Sonia Gray, Elizabeth Hawthorne, Amanda Billing, James Gaylyn, Paul Norell, Teuila Blakely, Jacque Drew, Phoenix Connolly, Matthew E. Morgan, Jay Simon;Rick Jacobson;;January 20, 2022;2022;TV-PG;98;;
757;Triumph in the Skies;Tres pilotos navegan por las viejas y nuevas relaciones románticas en el contexto de su empleador de aerolíneas con sede en Hong Kong.;Dramas, International Movies, Romantic Movies;Amber Kuo, Julian Cheung, Francis Ng Chun-yu, Sammi Cheng, Louis Koo, Charmaine Sheh, Kenneth Ma, Elena Kong;Wilson Yip, Matt Chow;;January 20, 2022;2015;TV-MA;100;;4.4
758;Damini;Testidado por sus suegros mientras buscaba justicia después de presenciar una violación, una nueva novia se encuentra con una abogada problemática que la ayuda a luchar contra el caso en la corte.;Classic Movies, Dramas, International Movies;Rishi Kapoor, Meenakshi Sheshadri, Sunny Deol, Amrish Puri, Kulbhushan Kharbanda, Paresh Rawal, Tinnu Anand, Vijayndra, Anjan Srivastav;Rajkumar Santoshi;;January 20, 2022;1993;TV-14;169;;7.7
759;Dushmani: A Violent Love Story;El amor prohibido de una pareja agrega nuevo combustible a la enemistad que abarca la generación entre sus dos familias, desencadenando peleas, traiciones y tragedias.;Action & Adventure, International Movies, Romantic Movies;Sunny Deol, Jackie Shroff, Anupam Kher, Manisha Koirala, Deepti Naval, Raghuvir Yadav, Neena Gupta, Manohar Singh, Mahavir Bhullar, Dina Pathak;Bunty Soorma;;January 20, 2022;1996;TV-14;163;;5.1
760;Heavenly Bites: Mexico;Bienvenido a una extravagancia de alimentos, un poema visual del ingenio goodie de México y los sabores extravagantes y deliciosos que valen los dolores del estómago.;Docuseries, International TV Shows, Reality TV;Memo Villegas;Juan Márquez;;January 19, 2022;2022;TV-14;;1 SEASON;
761;Isoken;Soltero a los 34 años, Isoken es maniobrada por su madre hacia una relación con un empresario negro, pero se ve atraída por un fotoperiodista blanco.;Comedies, International Movies, Romantic Movies;Dakore Egbuson-Akande, Joseph Benjamin, Marc Rhys, Funke Akindele-Bello, Lydia Forson, Damilola Adegbite, Tina Mba, Patrick Doyle;Jadesola Osiberu;;January 19, 2022;2017;TV-14;98;;6.3
762;Juanpis González - The Series;Un snob colombiano incursiona en los territorios desconocidos de la política sucia y el verdadero amor mientras intenta pasar una prueba para heredar el negocio familiar.;International TV Shows, Spanish-Language TV Shows, TV Comedies;Alejandro Riaño, Carolina Gaitán, Jairo Camargo, Julian Caicedo, Marcela Agudelo, Patrick Delmas, Luna Baxter, Marcela Benjumea, Paula Estrada, Andrés Juan;;;January 19, 2022;2022;TV-MA;;1 SEASON;
763;Potato Potahto;Una pareja divorciada decide continuar compartiendo una casa, pero su esquema de convivencia ya delicado se desenvuelve cuando comienzan a salir con otras personas.;Comedies, Dramas, International Movies;OC Ukeje, Joselyn Dumas, Joke Silva, Blossom Chukwujekwu, Kemi Lala Akindoju, Chris Attoh, Nikki Samonas, Adjetey Anang, Victoria Micheals;Shirley Frimpong-Manso;;January 19, 2022;2017;TV-MA;104;;4
764;Thomas and Friends;Esta serie animada de niños sigue las aventuras de Thomas, un alegre motor de tanque azul que vive en la isla de Sodor.;British TV Shows, Classic & Cult TV, Kids' TV;Michael Angelis, Ben Small, Keith Wickham, Kerry Shale;Greg Tiernan;;January 19, 2022;2020;TV-Y;;2 SEASONS;6.3
765;Too Hot to Handle;En las costas del paraíso, los hermosos singles se encuentran con Andgle. Pero hay un giro. Para ganar un gran premio de $ 100,000, tendrán que renunciar al sexo.;Reality TV, Romantic TV Shows;Desiree Burch;;United States, United Kingdom;January 19, 2022;2022;TV-MA;;3 SEASONS;4.8
766;Yodha;Cuando su padre periodista es asesinado por exponer a un estimado juez como criminal, un abogado honrado hace nuevos enemigos y aliados mientras busca venganza.;Action & Adventure, Dramas, International Movies;Sanjay Dutt, Sunny Deol, Sangeeta Bijlani, Danny Denzongpa, Shafi Inamdar, Paresh Rawal, Anjana Mumtaz, Annu Kapoor, Abhinav Chaturvedi, Sanam;Rahul Rawail;;January 19, 2022;1991;TV-14;149;;4.3
767;Blitz Patrollie;Atrapado entre las presiones familiares y la pelea de crímenes de poca monta, un par de policías torpes intenta reventar un acuerdo masivo de drogas y caer en la historia.;Action & Adventure, Comedies, International Movies;Joey Rasdien, David Kau, David Kibuuka, Chris Forrest, Santhiran Moonsamy, Quentin Krog, Kaseran Pillay, Mabutho Sithole, Mel Miller, Kagiso Lediga, Craig Urbani;Andrew Wessels;;January 19, 2022;2013;TV-MA;102;;5.4
768;DOTA: Dragon's Blood;Un Dragon Knight en conflicto pero valiente debe usar el poder del dragón interior para detener a un demonio mortal en esta fantasía épica basada en el juego en línea.;Anime Series;Yuri Lowenthal, Lara Pulver, Kari Wahlgren, Alix Wilton Regan, Troy Baker, Freya Tingley, Tony Todd;;United States;January 18, 2022;2022;TV-MA;;2 SEASONS;7.9
769;Kalushi: The Story of Solomon Mahlangu;La vida y los tiempos del icónico luchador de liberación sudafricano Solomon Mahlangu, que luchó contra las fuerzas del apartheid, se enfoca.;Dramas, International Movies;Thabo Rametsi, Thabo Malema, Welile Nzuza, Jafta Mamabolo, Louw Venter, Pearl Thusi;Mandla Dube;;January 18, 2022;2016;TV-MA;107;;6.6
770;Mighty Express: Train Trouble;¡Un dúo astuto ha engañado a los trenes y se ha hecho cargo de la estación de misioneros! ¿Puede Flicker flexionar sus habilidades en las pistas para rescatar a sus amigos y salvar el día?;Children & Family Movies;Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Schombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin, Gracen Daly, Christian Campbell, Shazdeh Kapadia;Clint Butler;;January 18, 2022;2022;TV-Y;26;;
771;The Puppet Master: Hunting the Ultimate Conman;En esta desgarradora docuserías, un cruel estafador disfrazado de espía británico manipula y roba a sus víctimas, dejando a las familias en ruinas a su paso.;Crime TV Shows, Docuseries;;;United Kingdom;January 18, 2022;2022;TV-MA;;1 SEASON;7.1
772;After We Fell;La pasión de Tessa y Hardin arde más caliente que nunca. Pero con los secretos mantenidos y las promesas rotas, el deseo por sí solo no será suficiente para construir un futuro juntos.;Dramas, Romantic Movies;Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Rob Estes, Stephen Moyer, Mira Sorvino, Arielle Kebbel, Chance Perdomo, Frances Turner;Castille Landon;;January 18, 2022;2021;R;99;;4.4
773;Blippi;El divertido y amigable Blippi lleva a los preescolares en excursiones interactivas y educativas, manteniéndolos constantemente curiosos sobre su mundo.;Kids' TV;Stevin John;;United States;January 17, 2022;2021;TV-Y;;1 SEASON;6.6
774;Blippi's School Supply Scavenger Hunt;Cuando su amigo le da una lista de suministros, Blippi se embarca en una búsqueda del tesoro para reunir todo lo que necesita para volver a la escuela.;Children & Family Movies;Clayton Grimm;;;January 17, 2022;2021;TV-Y;39;;
775;Paddington;Un joven oso adorable de las selvas de las tierras de Perú en Londres en busca de un nuevo hogar, y pronto encuentra a la familia mientras se acomoda en la vida de la ciudad.;Children & Family Movies, Comedies;Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Ben Whishaw, Nicole Kidman, Peter Capaldi, Matt Lucas, Kayvan Novak, Imelda Staunton, Michael Gambon;Paul King;;January 17, 2022;2014;PG;96;;7.3
776;Phantom Thread;Un diseñador de moda se siente atraído por una camarera, que se convierte en su modelo, musa y amante. Con el tiempo, su relación crece en intensidad y extrañeza.;Dramas, Independent Movies, Romantic Movies;Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford, Gina McKee, Brian Gleeson, Harriet Sansom Harris, Lujza Richter, Julia Davis, Nicholas Mander;Paul Thomas Anderson;;January 17, 2022;2017;R;131;;7.5
777;A?RIGATO ?JARUJARU TOWER 2020?;Conocido por sus extravagantes parodias, el dúo de comedia Jarujaru protagoniza esta película sobre los hilarantes sucesos que suceden a lo largo de la ruta de un entrega de alimentos.;Comedies, International Movies;Junpei Goto, Shusuke Fukutoku;Mitsuru Kuramoto;;January 15, 2022;2020;TV-G;100;;
778;After Life;Luchando por aceptar la muerte de su esposa, un escritor de un periódico adopta una nueva persona brusca en un esfuerzo por alejar a quienes intentan ayudar.;British TV Shows, International TV Shows, TV Comedies;Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman;;United Kingdom;January 14, 2022;2022;TV-MA;;3 SEASONS;8.3
779;Archive 81;Un archivero toma un trabajo restaurando videos dañados y es llevado al vórtice de un misterio que involucra al director desaparecido y un culto demoníaco.;TV Horror, TV Mysteries, TV Sci-Fi & Fantasy;Mamoudou Athie, Dina Shihabi, Matt McGorry, Evan Jonigkeit, Martin Donovan, Julia Chan, Ariana Neal;;United States;January 14, 2022;2022;TV-MA;;1 SEASON;7.4
780;Fatuma;Esta película secuela sigue a una mujer y su hija mientras luchan por encontrar el mismo reconocimiento por sus contribuciones a la granja familiar.;Dramas, International Movies;Beatrice Taisamo, Ayoub Bombwe, Catherine Credo, Kulthum Maabad, MacDonald Haule, Tish Abdalah, Sudi Muhamedi, Seif Membe, Rose Musili, Lesikari Luka;Jordan Riber;;January 14, 2022;2018;TV-14;79;;
781;Riverdance: The Animated Adventure;Después de una sincera pérdida, Keegan, nacido en Irlanda, y su amiga nacida en español, Moya, aprenden a bailar a través del peligro y la desesperación con una manada mágica de ciervos espirituales.;Children & Family Movies, Music & Musicals;Pierce Brosnan, Sam Hardy, Hannah Herman Cortes, Lilly Singh, Jermaine Fowler, Pauline McLynn, John Kavanagh, Aisling Bea, Brendan Gleeson;Dave Rosenbaum, Eamonn Butler;;January 14, 2022;2022;TV-Y7;94;;5.6
782;The House;A través de diferentes épocas, una familia pobre, un desarrollador ansioso y una casera harta de casas se vinculan con la misma casa misteriosa en esta animada comedia oscura.;Comedies, Dramas;Mia Goth, Jarvis Cocker, Susan Wokoma, Helena Bonham Carter, Matthew Goode, Claudie Blakley, Sven Wollter, Yvonne Lombard, Paul Kaye, Will Sharpe, Mark Heap;Emma De Swaef, Marc James Roels, Niki Lindroth von Bahr, Paloma Baeza;;January 14, 2022;2022;TV-MA;97;;
783;The Ultimate Braai Master;Equipos de dos caminan el aire libre y la barbacoa sus mejores platos con la esperanza de alcanzar la gloria culinaria y los premios en efectivo en esta competencia de cocina.;International TV Shows, Reality TV;Justin Bonnello, Benny Masekwameng, Peter Goffe-Wood, Greg Gilowey, Karl Tessendorf;;South Africa;January 14, 2022;2021;TV-PG;;1 SEASON;8.1
